Currency,Date,Open,High,Low,Close,Volume,Market Cap
bitcoin-cash,2019-12-04,212.68,216.60,205.89,209.29,"1,441,054,845","3,798,514,529"
bitcoin-cash,2019-12-03,215.50,217.16,211.62,212.86,"1,072,206,668","3,862,794,370"
bitcoin-cash,2019-12-02,216.38,218.92,212.36,215.66,"1,164,376,888","3,913,199,174"
bitcoin-cash,2019-12-01,218.99,219.26,212.50,216.17,"1,260,404,762","3,922,144,119"
bitcoin-cash,2019-11-30,224.98,226.76,217.43,218.91,"1,309,092,627","3,971,434,832"
bitcoin-cash,2019-11-29,218.89,225.69,218.44,224.81,"1,475,684,082","4,078,066,144"
bitcoin-cash,2019-11-28,220.12,226.24,218.58,218.74,"1,391,327,826","3,967,553,739"
bitcoin-cash,2019-11-27,212.36,224.12,206.61,220.41,"1,963,457,159","3,997,547,767"
bitcoin-cash,2019-11-26,208.78,214.93,208.35,212.93,"1,808,857,014","3,861,504,453"
bitcoin-cash,2019-11-25,205.24,215.30,194.76,209.24,"2,401,604,928","3,794,036,862"
bitcoin-cash,2019-11-24,217.29,217.91,205.14,205.15,"2,128,845,957","3,719,555,398"
bitcoin-cash,2019-11-23,209.10,217.36,202.89,217.34,"2,407,778,555","3,940,197,869"
bitcoin-cash,2019-11-22,226.70,229.26,198.15,208.93,"3,382,940,612","3,787,329,094"
bitcoin-cash,2019-11-21,244.20,246.82,222.46,226.60,"2,401,952,813","4,107,271,775"
bitcoin-cash,2019-11-20,244.34,248.62,241.52,244.24,"1,805,761,006","4,426,589,668"
bitcoin-cash,2019-11-19,250.17,253.92,236.83,244.41,"2,131,441,345","4,429,141,571"
bitcoin-cash,2019-11-18,268.47,269.80,246.33,250.18,"2,115,048,013","4,533,460,759"
bitcoin-cash,2019-11-17,267.71,274.04,264.40,268.74,"1,565,942,482","4,869,324,517"
bitcoin-cash,2019-11-16,264.96,269.50,263.40,267.70,"1,481,946,683","4,849,880,730"
bitcoin-cash,2019-11-15,280.07,280.27,264.04,264.71,"1,918,658,721","4,795,268,314"
bitcoin-cash,2019-11-14,286.24,287.01,277.44,279.56,"1,835,340,820","5,063,764,909"
bitcoin-cash,2019-11-13,289.04,289.66,284.09,286.49,"1,555,824,951","5,188,837,230"
bitcoin-cash,2019-11-12,287.18,291.64,284.55,289.24,"1,840,497,856","5,238,065,361"
bitcoin-cash,2019-11-11,293.57,297.01,284.39,287.16,"1,873,466,817","5,199,842,645"
bitcoin-cash,2019-11-10,282.73,296.04,281.32,293.48,"2,125,907,737","5,313,685,658"
