Currency,Date,Open,High,Low,Close,Volume,Market Cap
bitcoin-sv,2019-12-04,96.0,100.91,94.51,95.44,"492,295,285","1,724,375,560"
bitcoin-sv,2019-12-03,100.52,101.91,95.64,95.96,"408,257,124","1,733,908,192"
bitcoin-sv,2019-12-02,104.37,104.89,99.64,100.52,"393,387,957","1,816,323,733"
bitcoin-sv,2019-12-01,107.7,107.7,101.45,104.29,"377,438,739","1,884,411,961"
bitcoin-sv,2019-11-30,109.44,110.6,106.23,107.68,"392,006,505","1,945,611,203"
bitcoin-sv,2019-11-29,106.37,111.96,106.24,109.52,"453,679,422","1,978,813,004"
bitcoin-sv,2019-11-28,107.97,110.47,105.58,106.34,"395,048,212","1,921,403,990"
bitcoin-sv,2019-11-27,107.39,109.68,100.94,107.86,"503,979,901","1,948,925,218"
bitcoin-sv,2019-11-26,104.53,109.66,104.2,107.79,"528,497,445","1,947,609,127"
bitcoin-sv,2019-11-25,100.81,110.59,94.52,104.54,"642,537,570","1,888,863,830"
bitcoin-sv,2019-11-24,109.24,109.67,100.41,100.41,"599,838,915","1,814,217,168"
bitcoin-sv,2019-11-23,97.03,112.2,93.89,109.24,"739,152,543","1,973,762,429"
bitcoin-sv,2019-11-22,100.26,103.04,89.45,96.95,"616,441,731","1,751,697,880"
bitcoin-sv,2019-11-21,106.53,107.99,97.51,100.26,"544,006,907","1,811,450,983"
bitcoin-sv,2019-11-20,110.49,111.99,106.23,106.55,"520,424,423","1,925,241,869"
bitcoin-sv,2019-11-19,117.82,118.98,107.44,110.48,"505,270,411","1,996,250,189"
bitcoin-sv,2019-11-18,124.35,124.71,115.41,117.88,"461,338,463","2,129,876,360"
bitcoin-sv,2019-11-17,124.44,126.39,121.63,124.34,"433,044,444","2,246,662,178"
bitcoin-sv,2019-11-16,123.89,125.24,122.46,124.44,"445,795,162","2,248,506,131"
bitcoin-sv,2019-11-15,126.85,127.81,122.86,123.83,"504,904,340","2,237,387,754"
bitcoin-sv,2019-11-14,129.6,130.0,125.87,126.78,"536,349,429","2,290,741,186"
bitcoin-sv,2019-11-13,131.93,132.5,125.68,129.57,"459,041,836","2,341,129,499"
bitcoin-sv,2019-11-12,131.83,134.14,130.56,131.91,"483,240,340","2,383,450,679"
bitcoin-sv,2019-11-11,134.75,136.42,130.3,131.81,"545,751,160","2,381,598,573"
bitcoin-sv,2019-11-10,129.99,136.83,129.69,134.75,"672,594,575","2,434,718,388"
bitcoin-sv,2019-11-09,124.71,131.05,124.22,130.0,"554,798,622","2,348,930,504"
bitcoin-sv,2019-11-08,133.81,134.29,122.92,124.73,"596,195,515","2,253,587,995"
bitcoin-sv,2019-11-07,139.39,139.51,131.89,133.81,"625,253,653","2,417,811,957"
bitcoin-sv,2019-11-06,138.2,141.75,137.54,139.51,"594,544,968","2,520,692,186"
bitcoin-sv,2019-11-05,132.38,141.73,129.19,138.17,"679,981,472","2,496,444,837"
bitcoin-sv,2019-11-04,129.52,133.2,125.29,132.38,"693,642,230","2,391,918,494"
bitcoin-sv,2019-11-03,132.02,134.77,127.59,129.58,"625,193,166","2,341,224,259"
bitcoin-sv,2019-11-02,129.8,134.4,128.91,132.08,"643,408,094","2,386,427,906"
bitcoin-sv,2019-11-01,129.71,130.67,126.36,129.8,"675,418,596","2,345,362,327"
bitcoin-sv,2019-10-31,135.73,136.81,126.04,129.79,"681,579,729","2,345,098,775"
bitcoin-sv,2019-10-30,141.31,144.83,130.99,135.88,"812,504,442","2,455,107,079"
bitcoin-sv,2019-10-29,138.18,142.69,137.21,141.26,"877,591,979","2,552,418,810"
bitcoin-sv,2019-10-28,140.39,143.69,135.12,138.28,"835,319,397","2,498,420,677"
bitcoin-sv,2019-10-27,139.37,145.55,133.77,140.47,"834,794,509","2,538,038,524"
bitcoin-sv,2019-10-26,133.65,150.13,129.33,138.72,"1,085,213,668","2,506,456,129"
bitcoin-sv,2019-10-25,107.53,136.13,107.25,133.53,"1,003,567,974","2,412,628,579"
bitcoin-sv,2019-10-24,97.6,113.47,94.85,106.89,"590,775,287","1,931,343,421"
bitcoin-sv,2019-10-23,106.25,107.53,93.86,97.55,"499,965,271","1,762,631,587"
bitcoin-sv,2019-10-22,112.52,114.43,106.31,106.35,"512,483,208","1,921,605,778"
bitcoin-sv,2019-10-21,94.69,113.24,94.37,112.67,"541,954,757","2,011,641,650"
bitcoin-sv,2019-10-20,90.3,96.09,88.78,94.7,"303,194,147","1,690,943,191"
bitcoin-sv,2019-10-19,90.5,91.75,89.58,90.3,"281,678,299","1,612,294,439"
bitcoin-sv,2019-10-18,89.63,91.69,86.44,90.46,"345,538,896","1,615,227,920"
bitcoin-sv,2019-10-17,88.27,89.71,86.19,89.69,"271,421,781","1,601,366,280"
bitcoin-sv,2019-10-16,89.53,93.52,85.18,88.35,"348,703,625","1,577,463,973"
bitcoin-sv,2019-10-15,87.16,90.88,85.55,89.52,"320,044,316","1,598,404,211"
bitcoin-sv,2019-10-14,86.66,87.96,86.11,87.21,"225,321,414","1,557,088,085"
bitcoin-sv,2019-10-13,87.12,89.65,85.88,86.66,"267,105,276","1,547,249,914"
bitcoin-sv,2019-10-12,84.57,87.18,84.57,87.14,"229,512,808","1,555,843,680"
bitcoin-sv,2019-10-11,88.66,90.99,83.3,84.61,"253,215,601","1,510,633,496"
bitcoin-sv,2019-10-10,91.38,91.95,87.42,88.73,"283,585,145","1,584,208,283"
bitcoin-sv,2019-10-09,84.49,95.32,83.74,91.41,"260,940,560","1,632,108,268"
bitcoin-sv,2019-10-08,84.38,85.43,83.97,84.54,"226,789,231","1,509,461,742"
bitcoin-sv,2019-10-07,81.93,85.52,81.1,84.4,"220,337,415","1,506,944,396"
bitcoin-sv,2019-10-06,82.5,83.8,81.54,82.15,"198,006,418","1,466,721,706"
bitcoin-sv,2019-10-05,83.66,83.66,81.84,82.51,"181,882,747","1,473,298,702"
bitcoin-sv,2019-10-04,83.19,84.12,82.3,83.66,"185,634,199","1,493,659,696"
bitcoin-sv,2019-10-03,84.96,85.06,81.84,83.16,"175,634,620","1,484,889,649"
bitcoin-sv,2019-10-02,84.96,85.23,82.4,84.98,"198,465,338","1,517,256,796"
bitcoin-sv,2019-10-01,87.47,89.61,84.17,84.96,"221,813,390","1,516,975,065"
bitcoin-sv,2019-09-30,82.72,88.54,81.01,87.42,"257,954,647","1,560,900,186"
bitcoin-sv,2019-09-29,84.63,84.89,81.36,82.71,"197,802,787","1,476,698,556"
bitcoin-sv,2019-09-28,85.04,85.35,83.51,84.49,"214,814,898","1,508,566,985"
bitcoin-sv,2019-09-27,83.77,85.91,80.91,84.99,"306,495,767","1,517,496,158"
bitcoin-sv,2019-09-26,86.84,86.84,79.89,83.91,"317,185,904","1,498,239,430"
bitcoin-sv,2019-09-25,83.58,89.93,82.65,86.83,"426,955,957","1,550,409,503"
bitcoin-sv,2019-09-24,113.91,114.63,70.98,83.8,"423,586,533","1,496,185,823"
bitcoin-sv,2019-09-23,119.87,120.16,113.9,113.94,"212,881,041","2,034,335,259"
bitcoin-sv,2019-09-22,122.47,122.52,117.6,119.95,"242,721,087","2,141,659,238"
bitcoin-sv,2019-09-21,122.97,123.86,121.87,122.47,"251,839,198","2,186,671,710"
bitcoin-sv,2019-09-20,122.86,126.76,122.22,122.93,"281,651,168","2,194,844,686"
bitcoin-sv,2019-09-19,125.75,126.34,119.36,122.86,"309,211,017","2,193,717,629"
bitcoin-sv,2019-09-18,125.48,130.03,122.23,125.8,"392,307,803","2,246,226,066"
bitcoin-sv,2019-09-17,122.68,126.92,120.67,125.33,"261,322,488","2,237,774,676"
bitcoin-sv,2019-09-16,119.75,124.21,119.69,122.76,"290,530,221","2,191,807,333"
bitcoin-sv,2019-09-15,119.61,124.8,118.23,119.8,"288,012,019","2,138,947,005"
bitcoin-sv,2019-09-14,117.78,121.3,117.05,119.61,"206,474,305","2,135,634,066"
bitcoin-sv,2019-09-13,120.08,120.39,116.93,118.12,"259,858,641","2,109,074,528"
bitcoin-sv,2019-09-12,120.12,120.59,117.15,120.08,"223,982,727","2,143,987,077"
bitcoin-sv,2019-09-11,126.49,127.34,113.06,120.12,"352,362,965","2,144,703,311"
bitcoin-sv,2019-09-10,131.34,132.0,125.14,126.35,"329,559,950","2,255,943,590"
bitcoin-sv,2019-09-09,135.53,138.18,128.11,131.42,"358,026,181","2,346,482,307"
bitcoin-sv,2019-09-08,134.79,137.9,133.8,135.53,"307,391,476","2,419,929,881"
bitcoin-sv,2019-09-07,131.43,136.04,130.56,134.61,"322,452,434","2,403,488,056"
bitcoin-sv,2019-09-06,130.53,137.33,129.62,131.24,"357,116,235","2,343,235,062"
bitcoin-sv,2019-09-05,131.94,133.84,129.25,130.53,"298,935,720","2,330,600,001"
bitcoin-sv,2019-09-04,135.24,135.46,131.59,131.85,"288,271,329","2,354,259,325"
bitcoin-sv,2019-09-03,133.78,137.3,133.69,135.17,"355,166,862","2,413,379,240"
bitcoin-sv,2019-09-02,130.02,135.25,128.7,133.65,"327,131,780","2,386,234,085"
bitcoin-sv,2019-09-01,129.39,129.86,127.28,129.65,"280,438,624","2,314,946,418"
bitcoin-sv,2019-08-31,130.48,130.48,126.98,129.41,"279,414,915","2,310,674,799"
bitcoin-sv,2019-08-30,128.88,131.53,125.96,130.41,"322,508,749","2,328,387,426"
bitcoin-sv,2019-08-29,125.7,134.44,120.63,128.88,"392,524,362","2,301,089,457"
bitcoin-sv,2019-08-28,134.3,134.3,125.32,125.62,"292,196,902","2,242,929,660"
bitcoin-sv,2019-08-27,131.59,135.15,128.1,134.19,"341,224,340","2,396,048,860"
bitcoin-sv,2019-08-26,132.76,135.86,130.28,131.66,"330,515,940","2,350,733,731"
bitcoin-sv,2019-08-25,133.33,135.55,131.56,132.94,"283,207,352","2,373,713,768"
bitcoin-sv,2019-08-24,136.17,136.64,131.06,133.66,"289,320,210","2,386,434,593"
bitcoin-sv,2019-08-23,135.17,136.51,133.64,136.25,"298,744,767","2,432,661,964"
bitcoin-sv,2019-08-22,133.29,137.21,129.47,135.17,"308,386,970","2,413,408,266"
bitcoin-sv,2019-08-21,140.56,140.74,130.58,133.26,"308,967,051","2,379,374,155"
bitcoin-sv,2019-08-20,146.06,146.87,139.97,140.53,"261,710,692","2,509,155,318"
bitcoin-sv,2019-08-19,136.69,145.99,136.0,145.86,"310,302,000","2,604,413,600"
bitcoin-sv,2019-08-18,133.51,138.83,131.44,136.6,"263,906,620","2,439,016,944"
bitcoin-sv,2019-08-17,134.94,136.76,130.92,133.49,"259,106,571","2,383,419,504"
bitcoin-sv,2019-08-16,135.52,137.68,131.33,134.85,"305,356,492","2,407,742,690"
bitcoin-sv,2019-08-15,134.63,138.22,124.91,135.53,"402,042,236","2,419,951,665"
bitcoin-sv,2019-08-14,143.03,151.76,130.47,133.92,"413,771,458","2,391,214,230"
bitcoin-sv,2019-08-13,142.53,144.24,139.8,143.03,"302,211,348","2,553,750,191"
bitcoin-sv,2019-08-12,145.85,147.6,142.36,142.46,"248,822,151","2,543,543,277"
bitcoin-sv,2019-08-11,141.52,147.42,141.52,145.84,"296,628,678","2,603,968,439"
bitcoin-sv,2019-08-10,140.65,146.07,139.3,141.47,"339,805,538","2,525,899,500"
bitcoin-sv,2019-08-09,144.16,146.92,138.53,140.65,"341,459,784","2,511,294,759"
bitcoin-sv,2019-08-08,147.26,148.02,139.95,144.12,"310,419,705","2,573,199,013"
bitcoin-sv,2019-08-07,147.3,151.08,144.8,147.26,"338,490,075","2,629,297,881"
bitcoin-sv,2019-08-06,154.16,160.49,143.41,147.08,"386,226,479","2,626,080,886"
bitcoin-sv,2019-08-05,150.37,158.01,150.15,154.04,"356,214,803","2,750,380,989"
