Currency,Date,Open,High,Low,Close,Volume,Market Cap
cardano,2019-12-04,0.037906,0.038533,0.03655,0.037405,"51,692,274","969,802,335"
cardano,2019-12-03,0.038047,0.038761,0.037226,0.037917,"34,356,883","983,080,974"
cardano,2019-12-02,0.039612,0.039769,0.03758,0.038056,"43,069,274","986,684,920"
cardano,2019-12-01,0.040426,0.040426,0.038467,0.039587,"59,641,355","1,026,365,437"
cardano,2019-11-30,0.041416,0.042268,0.040068,0.040425,"64,184,926","1,048,107,282"
cardano,2019-11-29,0.039227,0.04204,0.039194,0.041423,"99,506,198","1,073,986,624"
cardano,2019-11-28,0.039129,0.03999,0.038641,0.03919,"60,743,403","1,016,079,672"
cardano,2019-11-27,0.036955,0.0398,0.035783,0.039049,"76,841,561","1,012,420,887"
cardano,2019-11-26,0.036046,0.037074,0.035705,0.036993,"57,431,470","959,117,573"
cardano,2019-11-25,0.035543,0.037184,0.033336,0.036048,"96,694,224","934,626,616"
cardano,2019-11-24,0.038371,0.038916,0.035556,0.035588,"62,998,664","922,680,695"
cardano,2019-11-23,0.037159,0.038423,0.036701,0.038343,"58,979,321","994,122,170"
cardano,2019-11-22,0.038447,0.038685,0.034611,0.037148,"93,310,136","963,130,806"
cardano,2019-11-21,0.041169,0.041249,0.037727,0.038406,"67,101,708","995,755,250"
cardano,2019-11-20,0.042588,0.042794,0.040809,0.041178,"69,854,304","1,067,634,701"
cardano,2019-11-19,0.043697,0.044451,0.041383,0.042542,"91,311,583","1,102,995,485"
cardano,2019-11-18,0.045403,0.046652,0.043543,0.043802,"106,595,679","1,135,647,864"
cardano,2019-11-17,0.044153,0.046423,0.04367,0.045421,"74,834,540","1,177,627,885"
cardano,2019-11-16,0.043978,0.044655,0.043511,0.044172,"61,781,146","1,145,239,519"
cardano,2019-11-15,0.04313,0.044432,0.042329,0.043974,"81,592,975","1,140,128,777"
cardano,2019-11-14,0.043489,0.04355,0.042399,0.043119,"53,295,194","1,117,958,882"
cardano,2019-11-13,0.043722,0.044044,0.04332,0.043492,"42,332,678","1,127,632,602"
cardano,2019-11-12,0.043257,0.044631,0.043227,0.043767,"79,520,150","1,134,751,210"
cardano,2019-11-11,0.043971,0.044122,0.042499,0.043194,"57,846,910","1,119,896,696"
cardano,2019-11-10,0.042438,0.044227,0.042388,0.043958,"71,691,725","1,139,696,016"
cardano,2019-11-09,0.042298,0.042755,0.042139,0.042445,"41,365,742","1,100,480,940"
cardano,2019-11-08,0.043644,0.043837,0.04138,0.042297,"70,275,428","1,096,640,030"
cardano,2019-11-07,0.044928,0.045018,0.042724,0.043637,"63,525,683","1,131,378,703"
cardano,2019-11-06,0.044301,0.046105,0.043826,0.044956,"71,743,244","1,165,576,446"
cardano,2019-11-05,0.043261,0.044928,0.043232,0.044328,"82,868,890","1,149,307,855"
