Currency,Date,Open,High,Low,Close,Volume,Market Cap
eos,04/12/2019,2.7,2.74,2.6,2.65,"1,991,656,646","2,497,719,668"
eos,03/12/2019,2.69,2.74,2.65,2.7,"1,391,933,885","2,549,066,942"
eos,02/12/2019,2.78,2.8,2.66,2.69,"1,641,895,350","2,531,453,856"
eos,01/12/2019,2.76,2.84,2.68,2.78,"1,792,147,034","2,618,290,742"
eos,30/11/2019,2.8,2.83,2.74,2.76,"1,537,950,803","2,598,670,742"
eos,29/11/2019,2.64,2.8,2.64,2.8,"1,899,935,358","2,636,173,142"
eos,28/11/2019,2.69,2.76,2.62,2.64,"1,514,999,632","2,483,560,320"
eos,27/11/2019,2.63,2.73,2.53,2.69,"2,247,567,344","2,532,133,843"
eos,26/11/2019,2.53,2.65,2.53,2.63,"1,894,353,525","2,479,535,254"
eos,25/11/2019,2.45,2.6,2.37,2.54,"3,240,749,705","2,387,930,189"
eos,24/11/2019,2.72,2.73,2.45,2.45,"2,906,089,979","2,307,205,605"
eos,23/11/2019,2.63,2.73,2.59,2.72,"2,021,876,981","2,564,872,526"
eos,22/11/2019,2.83,2.85,2.51,2.63,"3,602,118,620","2,477,842,442"
eos,21/11/2019,3.1,3.12,2.79,2.83,"2,542,236,471","2,659,185,420"
eos,20/11/2019,3.15,3.18,3.09,3.1,"1,963,218,325","2,914,257,086"
eos,19/11/2019,3.23,3.27,3.07,3.15,"2,304,230,672","2,965,681,898"
eos,18/11/2019,3.42,3.46,3.15,3.23,"2,272,078,620","3,035,722,432"
eos,17/11/2019,3.41,3.47,3.37,3.42,"1,573,105,687","3,218,347,132"
eos,16/11/2019,3.34,3.41,3.33,3.41,"1,466,435,139","3,203,173,411"
eos,15/11/2019,3.42,3.48,3.33,3.34,"2,058,586,140","3,145,080,225"
eos,14/11/2019,3.48,3.49,3.39,3.42,"1,728,331,755","3,215,424,716"
eos,13/11/2019,3.48,3.5,3.45,3.48,"1,828,134,783","3,271,483,468"
eos,12/11/2019,3.45,3.53,3.43,3.48,"2,404,898,305","3,273,174,725"
eos,11/11/2019,3.59,3.6,3.44,3.45,"2,044,553,191","3,240,138,787"
eos,10/11/2019,3.49,3.61,3.48,3.58,"2,399,902,626","3,368,114,310"
eos,09/11/2019,3.42,3.5,3.42,3.49,"1,937,769,184","3,277,616,855"
eos,08/11/2019,3.5,3.55,3.39,3.42,"2,561,508,538","3,213,675,374"
eos,07/11/2019,3.62,3.63,3.46,3.5,"2,352,629,788","3,283,847,627"
eos,06/11/2019,3.62,3.67,3.57,3.62,"2,422,013,167","3,402,662,724"
eos,05/11/2019,3.45,3.66,3.41,3.62,"3,098,696,039","3,398,966,741"
eos,04/11/2019,3.29,3.48,3.26,3.45,"2,622,910,762","3,234,215,785"
eos,03/11/2019,3.33,3.35,3.22,3.28,"1,747,407,101","3,083,125,737"
eos,02/11/2019,3.35,3.39,3.31,3.33,"1,853,095,765","3,129,373,031"
eos,01/11/2019,3.28,3.38,3.24,3.35,"2,155,169,872","3,147,694,261"
eos,31/10/2019,3.3,3.37,3.2,3.28,"2,214,401,900","3,073,979,520"
eos,30/10/2019,3.41,3.41,3.22,3.3,"2,485,786,630","3,093,636,013"
eos,29/10/2019,3.29,3.45,3.29,3.41,"2,600,414,930","3,196,064,369"
eos,28/10/2019,3.34,3.5,3.26,3.3,"3,132,020,604","3,092,271,494"
eos,27/10/2019,3.14,3.44,3.09,3.34,"3,568,565,292","3,130,088,275"
eos,26/10/2019,3.18,3.48,3.02,3.14,"4,412,536,644","2,940,437,151"
eos,25/10/2019,2.75,3.23,2.75,3.18,"3,298,466,972","2,981,762,506"
eos,24/10/2019,2.73,2.79,2.69,2.75,"1,677,353,890","2,576,866,486"
eos,23/10/2019,2.91,2.92,2.62,2.72,"2,316,838,034","2,550,928,755"
eos,22/10/2019,2.94,3.01,2.89,2.9,"1,939,157,471","2,721,429,893"
eos,21/10/2019,2.93,2.96,2.89,2.94,"1,669,867,319","2,755,093,990"
eos,20/10/2019,2.88,2.94,2.85,2.93,"1,400,512,069","2,740,115,300"
eos,19/10/2019,2.89,2.92,2.86,2.88,"1,417,496,827","2,699,359,025"
eos,18/10/2019,2.96,2.97,2.78,2.89,"1,744,772,631","2,706,249,984"
eos,17/10/2019,2.95,2.97,2.91,2.96,"1,439,284,340","2,775,911,462"
eos,16/10/2019,2.99,3.01,2.89,2.95,"1,501,128,756","2,758,656,966"
eos,15/10/2019,3.17,3.17,2.93,2.99,"1,645,524,106","2,798,959,756"
eos,14/10/2019,3.12,3.18,3.12,3.17,"1,389,395,737","2,965,197,714"
eos,13/10/2019,3.08,3.14,3.08,3.12,"1,327,230,774","2,920,280,356"
eos,12/10/2019,3.14,3.2,3.06,3.09,"1,257,929,733","2,886,738,787"
eos,11/10/2019,3.16,3.21,3.11,3.14,"1,550,194,188","2,934,284,706"
eos,10/10/2019,3.25,3.25,3.08,3.16,"1,605,661,953","2,955,018,796"
eos,09/10/2019,3.18,3.28,3.14,3.25,"1,748,770,013","3,041,803,860"
eos,08/10/2019,3.19,3.23,3.14,3.18,"1,351,333,142","2,969,980,622"
eos,07/10/2019,2.95,3.24,2.93,3.19,"1,881,135,399","2,986,237,470"
eos,06/10/2019,2.99,3.0,2.91,2.95,"1,182,881,123","2,760,544,954"
eos,05/10/2019,3.02,3.02,2.94,2.99,"1,146,410,478","2,792,513,869"
eos,04/10/2019,2.94,3.07,2.91,3.02,"1,302,959,771","2,823,239,003"
eos,03/10/2019,3.01,3.02,2.87,2.94,"1,213,673,803","2,744,238,578"
eos,02/10/2019,2.96,3.04,2.91,3.02,"1,283,741,026","2,816,840,616"
eos,01/10/2019,2.96,3.09,2.9,2.96,"1,740,106,578","2,762,869,404"
eos,30/09/2019,2.8,2.99,2.75,2.96,"1,771,759,106","2,761,785,237"
eos,29/09/2019,2.86,2.87,2.73,2.8,"1,199,067,769","2,611,476,257"
eos,28/09/2019,2.86,2.91,2.82,2.86,"1,202,599,804","2,665,884,416"
eos,27/09/2019,2.82,2.9,2.74,2.86,"1,640,491,240","2,668,417,135"
eos,26/09/2019,2.91,2.91,2.67,2.82,"2,002,696,178","2,629,304,214"
