Currency,Date,Open,High,Low,Close,Volume,Market Cap
stellar,2019-12-04,0.055917,0.056422,0.054416,0.055419,"207,789,246","1,111,416,307"
stellar,2019-12-03,0.056042,0.056821,0.055417,0.05598,"150,835,452","1,122,669,946"
stellar,2019-12-02,0.058098,0.058214,0.055986,0.056078,"204,095,722","1,124,621,901"
stellar,2019-12-01,0.059751,0.059877,0.05654,0.058082,"214,999,370","1,164,817,487"
stellar,2019-11-30,0.059306,0.060415,0.057283,0.059641,"228,259,886","1,196,086,467"
stellar,2019-11-29,0.058212,0.060932,0.058165,0.059152,"241,666,196","1,186,271,902"
stellar,2019-11-28,0.059208,0.060486,0.058179,0.058225,"224,143,848","1,167,681,753"
stellar,2019-11-27,0.058393,0.059952,0.056166,0.059057,"260,781,107","1,184,377,699"
stellar,2019-11-26,0.057542,0.059103,0.05652,0.058553,"218,983,844","1,174,266,799"
stellar,2019-11-25,0.056791,0.059389,0.05375,0.057595,"548,798,088","1,155,059,103"
stellar,2019-11-24,0.060602,0.061783,0.056881,0.056881,"795,594,528","1,140,743,320"
stellar,2019-11-23,0.059405,0.061716,0.057753,0.060364,"262,945,614","1,210,579,252"
stellar,2019-11-22,0.061737,0.061868,0.056237,0.059502,"304,545,334","1,193,303,118"
stellar,2019-11-21,0.065522,0.065701,0.061047,0.061683,"251,644,441","1,237,034,117"
stellar,2019-11-20,0.065691,0.06632,0.06454,0.065502,"219,882,275","1,313,627,943"
stellar,2019-11-19,0.068291,0.068679,0.06481,0.065751,"287,651,893","1,318,630,467"
stellar,2019-11-18,0.072133,0.072261,0.066962,0.068304,"245,433,022","1,369,817,366"
stellar,2019-11-17,0.071848,0.073095,0.071784,0.072137,"197,097,974","1,446,685,558"
stellar,2019-11-16,0.072347,0.072805,0.071748,0.071906,"173,395,847","1,442,049,711"
stellar,2019-11-15,0.074816,0.074972,0.071935,0.072335,"222,062,024","1,450,653,587"
