Currency,Date,Open,High,Low,Close,Volume,Market Cap
tether,2019-12-04,1.0,1.02,0.981153,1.01,"24,761,899,935","4,140,656,482"
tether,2019-12-03,1.0,1.01,0.991071,1.0,"16,691,088,420","4,120,924,295"
tether,2019-12-02,1.0,1.02,0.991988,1.0,"19,093,390,526","4,114,951,368"
tether,2019-12-01,1.0,1.02,0.99508,1.0,"21,027,847,332","4,118,235,661"
tether,2019-11-30,1.0,1.02,0.998375,1.0,"19,145,198,648","4,115,041,871"
tether,2019-11-29,1.0,1.01,0.992586,1.0,"22,304,763,156","4,126,616,332"
tether,2019-11-28,1.0,1.02,1.0,1.0,"21,502,793,846","4,124,805,294"
tether,2019-11-27,1.0,1.03,0.981392,1.01,"27,416,693,309","4,128,694,013"
tether,2019-11-26,1.0,1.02,0.995267,1.01,"23,545,460,689","4,148,191,320"
tether,2019-11-25,1.01,1.02,0.993995,1.0,"33,648,447,519","4,120,837,393"
tether,2019-11-24,1.01,1.03,1.0,1.02,"25,990,545,761","4,180,011,937"
tether,2019-11-23,1.0,1.03,0.998878,1.01,"24,605,070,720","4,161,983,862"
tether,2019-11-22,1.0,1.02,0.991656,1.0,"39,068,899,485","4,120,554,484"
tether,2019-11-21,1.01,1.02,0.998885,1.0,"26,004,738,831","4,109,731,631"
tether,2019-11-20,1.01,1.02,1.0,1.01,"22,255,938,426","4,130,393,647"
tether,2019-11-19,1.01,1.03,1.0,1.01,"23,104,090,327","4,144,883,422"
tether,2019-11-18,1.01,1.02,1.0,1.01,"24,102,161,964","4,157,375,252"
tether,2019-11-17,1.01,1.02,1.0,1.01,"20,418,489,157","4,142,844,476"
tether,2019-11-16,1.0,1.01,1.0,1.01,"18,225,904,912","4,135,759,004"
tether,2019-11-15,1.01,1.02,0.995398,1.0,"25,291,395,573","4,113,666,666"
tether,2019-11-14,1.0,1.01,0.998471,1.01,"21,911,169,228","4,130,975,243"
tether,2019-11-13,1.0,1.01,0.999717,1.0,"20,071,939,197","4,121,088,708"
tether,2019-11-12,1.0,1.01,0.997774,1.0,"23,449,537,112","4,113,788,114"
tether,2019-11-11,1.0,1.01,0.997627,1.0,"23,739,145,075","4,118,061,437"
tether,2019-11-10,1.0,1.01,0.988144,1.0,"24,552,202,767","4,119,110,881"
tether,2019-11-09,1.0,1.01,0.998939,1.0,"20,459,420,156","4,108,822,609"
tether,2019-11-08,1.01,1.01,0.998418,1.0,"28,749,114,086","4,118,305,231"
tether,2019-11-07,1.0,1.01,0.997957,1.01,"27,694,410,589","4,131,592,434"
tether,2019-11-06,1.01,1.01,1.0,1.0,"28,578,448,466","4,120,504,628"
tether,2019-11-05,1.0,1.01,0.996082,1.0,"30,721,581,637","4,127,530,034"
tether,2019-11-04,1.0,1.01,0.99369,1.0,"30,710,349,697","4,125,883,665"
tether,2019-11-03,1.01,1.01,0.998527,1.0,"24,597,499,287","4,126,314,409"
tether,2019-11-02,1.0,1.01,0.997896,1.0,"23,973,071,925","4,127,588,892"
tether,2019-11-01,1.01,1.01,1.0,1.0,"27,864,589,885","4,124,890,871"
tether,2019-10-31,1.01,1.03,0.998004,1.01,"30,727,310,848","4,134,412,347"
tether,2019-10-30,1.0,1.01,0.99934,1.01,"32,807,890,269","4,132,087,645"
tether,2019-10-29,1.0,1.01,0.992977,1.0,"35,047,512,730","4,116,816,180"
tether,2019-10-28,1.0,1.01,0.978821,1.0,"38,665,694,771","4,119,771,724"
tether,2019-10-27,1.0,1.01,0.97702,1.0,"40,519,447,549","4,125,469,824"
tether,2019-10-26,1.0,1.01,0.969353,1.0,"53,509,128,965","4,114,596,274"
tether,2019-10-25,1.01,1.01,0.976078,1.0,"37,383,241,390","4,116,967,974"
tether,2019-10-24,1.0,1.01,0.982727,1.01,"22,266,038,845","4,138,558,913"
tether,2019-10-23,1.0,1.04,0.999671,1.0,"28,104,432,431","4,118,105,520"
tether,2019-10-22,1.0,1.01,1.0,1.0,"20,074,662,023","4,126,489,142"
tether,2019-10-21,1.0,1.01,1.0,1.0,"19,359,959,756","4,125,208,335"
tether,2019-10-20,1.01,1.01,0.997678,1.0,"19,329,244,106","4,119,901,026"
tether,2019-10-19,1.0,1.01,0.997877,1.01,"17,298,548,068","4,136,188,573"
tether,2019-10-18,1.0,1.02,1.0,1.0,"19,250,435,708","4,119,297,017"
tether,2019-10-17,1.01,1.01,1.0,1.0,"17,434,260,359","4,125,325,861"
tether,2019-10-16,1.0,1.01,0.999617,1.01,"19,824,055,272","4,133,212,798"
tether,2019-10-15,1.0,1.01,0.998641,1.0,"19,049,522,501","4,124,681,551"
tether,2019-10-14,1.0,1.01,0.994655,1.0,"17,801,736,393","4,125,276,591"
tether,2019-10-13,1.0,1.02,1.0,1.0,"16,192,755,686","4,128,347,941"
tether,2019-10-12,1.01,1.02,1.0,1.0,"17,304,431,390","4,126,426,747"
tether,2019-10-11,1.0,1.02,0.994763,1.01,"23,204,107,707","4,158,787,987"
tether,2019-10-10,1.01,1.01,0.998622,1.0,"20,928,242,912","4,121,340,915"
tether,2019-10-09,1.01,1.01,0.995585,1.01,"23,029,987,899","4,131,538,662"
tether,2019-10-08,1.01,1.01,1.0,1.01,"18,815,341,020","4,133,186,976"
tether,2019-10-07,1.01,1.02,0.997375,1.01,"21,724,647,654","4,143,061,946"
tether,2019-10-06,1.0,1.02,1.0,1.01,"15,827,357,439","4,157,697,859"
tether,2019-10-05,1.01,1.01,0.999737,1.0,"14,434,599,810","4,115,980,271"
tether,2019-10-04,1.0,1.01,1.0,1.01,"15,728,274,369","4,144,365,577"
tether,2019-10-03,1.0,1.01,0.998967,1.0,"16,169,258,787","4,128,369,915"
tether,2019-10-02,1.01,1.01,1.0,1.0,"15,811,830,977","4,125,482,767"
tether,2019-10-01,1.0,1.01,0.9987,1.01,"19,030,134,292","4,134,317,781"
tether,2019-09-30,1.01,1.01,0.997939,1.0,"21,100,592,344","4,124,922,496"
tether,2019-09-29,1.0,1.02,1.0,1.01,"15,804,140,912","4,131,364,185"
tether,2019-09-28,1.01,1.01,0.998413,1.0,"16,912,669,853","4,127,056,413"
tether,2019-09-27,1.0,1.01,0.999738,1.01,"19,746,430,476","4,150,539,050"
tether,2019-09-26,1.01,1.02,0.995644,1.0,"22,801,049,085","4,126,247,361"
tether,2019-09-25,1.01,1.01,0.997471,1.01,"26,997,260,690","4,135,771,272"
tether,2019-09-24,1.0,1.06,0.996689,1.01,"30,921,334,257","4,137,451,011"
tether,2019-09-23,1.0,1.01,0.998132,1.0,"18,747,409,475","4,118,512,107"
tether,2019-09-22,1.0,1.01,0.997709,1.0,"16,627,445,896","4,118,866,621"
tether,2019-09-21,1.0,1.01,0.999478,1.0,"16,319,022,643","4,117,713,822"
tether,2019-09-20,1.0,1.01,0.998032,1.0,"18,113,214,694","4,111,952,092"
tether,2019-09-19,1.01,1.02,0.996239,1.0,"24,952,094,604","4,120,322,200"
tether,2019-09-18,1.01,1.01,1.0,1.0,"20,444,983,557","4,128,128,247"
tether,2019-09-17,1.0,1.01,0.998028,1.0,"19,476,441,246","4,128,114,452"
tether,2019-09-16,1.0,1.01,0.997661,1.0,"17,893,377,310","4,114,723,986"
tether,2019-09-15,1.0,1.01,1.0,1.0,"14,415,596,813","4,123,580,642"
tether,2019-09-14,1.0,1.01,0.998992,1.0,"16,159,387,143","4,114,222,770"
tether,2019-09-13,1.0,1.01,1.0,1.0,"15,996,355,710","4,097,467,740"
tether,2019-09-12,1.0,1.01,1.0,1.0,"16,402,248,661","4,101,324,783"
tether,2019-09-11,1.0,1.01,0.994772,1.0,"18,377,750,474","4,098,035,281"
tether,2019-09-10,1.0,1.01,0.997473,0.999806,"17,017,654,802","4,087,401,867"
tether,2019-09-09,1.0,1.01,0.99368,1.0,"20,257,637,729","4,086,341,063"
tether,2019-09-08,1.01,1.02,0.9998,1.01,"16,261,435,450","4,092,580,762"
tether,2019-09-07,1.0,1.01,0.996417,1.01,"17,519,761,214","4,076,795,700"
tether,2019-09-06,1.0,1.02,0.99731,1.0,"21,625,818,728","4,066,603,136"
tether,2019-09-05,1.0,1.01,0.99748,1.0,"16,117,656,384","4,039,613,908"
tether,2019-09-04,1.0,1.01,0.997986,1.0,"17,773,100,138","4,035,748,884"
tether,2019-09-03,1.0,1.01,0.997069,1.0,"20,961,149,310","4,036,034,882"
tether,2019-09-02,1.0,1.01,0.995956,1.0,"19,393,673,770","4,019,029,082"
tether,2019-09-01,1.0,1.01,0.997522,1.0,"13,692,453,817","4,026,198,550"
tether,2019-08-31,1.0,1.01,0.99883,1.0,"13,595,017,430","4,022,874,816"
tether,2019-08-30,1.0,1.01,0.997414,1.0,"15,743,697,557","4,016,648,657"
tether,2019-08-29,0.996938,1.0,0.990583,1.0,"19,588,460,309","4,016,076,899"
tether,2019-08-28,0.997596,1.02,0.995672,0.996918,"20,067,236,222","3,993,337,718"
tether,2019-08-27,1.0,1.0,0.994668,0.999137,"15,741,344,309","4,051,946,618"
tether,2019-08-26,0.998459,1.01,0.99048,1.0,"20,439,272,588","4,061,567,312"
tether,2019-08-25,1.0,1.01,0.997705,0.999559,"15,701,077,262","4,047,319,907"
tether,2019-08-24,1.0,1.01,0.994502,1.0,"16,855,228,119","4,059,783,763"
tether,2019-08-23,1.0,1.01,0.995214,1.0,"17,469,694,439","4,064,927,506"
tether,2019-08-22,0.994162,1.02,0.989497,1.0,"19,233,722,241","4,055,957,258"
tether,2019-08-21,1.0,1.01,0.988811,0.994472,"21,391,478,351","4,021,552,170"
tether,2019-08-20,1.0,1.01,0.997226,1.0,"16,172,223,852","4,045,850,196"
tether,2019-08-19,1.0,1.01,0.999314,1.0,"16,811,861,913","4,060,897,533"
tether,2019-08-18,1.0,1.01,0.99509,1.0,"14,364,172,776","4,057,444,466"
tether,2019-08-17,1.0,1.01,0.994905,1.0,"14,226,877,438","4,047,320,852"
tether,2019-08-16,1.0,1.01,0.989389,1.0,"20,270,456,793","4,053,428,776"
tether,2019-08-15,0.993513,1.01,0.9898,1.0,"24,671,808,089","4,053,746,971"
tether,2019-08-14,0.996904,1.01,0.991617,0.993267,"20,899,800,562","4,015,336,888"
tether,2019-08-13,0.99886,1.0,0.992964,0.996607,"16,990,669,408","4,029,041,082"
tether,2019-08-12,0.997528,1.0,0.996463,0.998427,"14,362,593,627","4,036,397,868"
