Currency,Date,Open,High,Low,Close,Volume,Market Cap
eos,"Dec 04, 2019",2.70,2.74,2.60,2.65,"1,991,656,646","2,497,719,668"
eos,"Dec 03, 2019",2.69,2.74,2.65,2.70,"1,391,933,885","2,549,066,942"
eos,"Dec 02, 2019",2.78,2.80,2.66,2.69,"1,641,895,350","2,531,453,856"
eos,"Dec 01, 2019",2.76,2.84,2.68,2.78,"1,792,147,034","2,618,290,742"
eos,"Nov 30, 2019",2.80,2.83,2.74,2.76,"1,537,950,803","2,598,670,742"
eos,"Nov 29, 2019",2.64,2.80,2.64,2.80,"1,899,935,358","2,636,173,142"
eos,"Nov 28, 2019",2.69,2.76,2.62,2.64,"1,514,999,632","2,483,560,320"
eos,"Nov 27, 2019",2.63,2.73,2.53,2.69,"2,247,567,344","2,532,133,843"
eos,"Nov 26, 2019",2.53,2.65,2.53,2.63,"1,894,353,525","2,479,535,254"
eos,"Nov 25, 2019",2.45,2.60,2.37,2.54,"3,240,749,705","2,387,930,189"
eos,"Nov 24, 2019",2.72,2.73,2.45,2.45,"2,906,089,979","2,307,205,605"
eos,"Nov 23, 2019",2.63,2.73,2.59,2.72,"2,021,876,981","2,564,872,526"
eos,"Nov 22, 2019",2.83,2.85,2.51,2.63,"3,602,118,620","2,477,842,442"
eos,"Nov 21, 2019",3.10,3.12,2.79,2.83,"2,542,236,471","2,659,185,420"
eos,"Nov 20, 2019",3.15,3.18,3.09,3.10,"1,963,218,325","2,914,257,086"
eos,"Nov 19, 2019",3.23,3.27,3.07,3.15,"2,304,230,672","2,965,681,898"
eos,"Nov 18, 2019",3.42,3.46,3.15,3.23,"2,272,078,620","3,035,722,432"
eos,"Nov 17, 2019",3.41,3.47,3.37,3.42,"1,573,105,687","3,218,347,132"
eos,"Nov 16, 2019",3.34,3.41,3.33,3.41,"1,466,435,139","3,203,173,411"
eos,"Nov 15, 2019",3.42,3.48,3.33,3.34,"2,058,586,140","3,145,080,225"
eos,"Nov 14, 2019",3.48,3.49,3.39,3.42,"1,728,331,755","3,215,424,716"
eos,"Nov 13, 2019",3.48,3.50,3.45,3.48,"1,828,134,783","3,271,483,468"
eos,"Nov 12, 2019",3.45,3.53,3.43,3.48,"2,404,898,305","3,273,174,725"
eos,"Nov 11, 2019",3.59,3.60,3.44,3.45,"2,044,553,191","3,240,138,787"
eos,"Nov 10, 2019",3.49,3.61,3.48,3.58,"2,399,902,626","3,368,114,310"
eos,"Nov 09, 2019",3.42,3.50,3.42,3.49,"1,937,769,184","3,277,616,855"
eos,"Nov 08, 2019",3.50,3.55,3.39,3.42,"2,561,508,538","3,213,675,374"
eos,"Nov 07, 2019",3.62,3.63,3.46,3.50,"2,352,629,788","3,283,847,627"
eos,"Nov 06, 2019",3.62,3.67,3.57,3.62,"2,422,013,167","3,402,662,724"
eos,"Nov 05, 2019",3.45,3.66,3.41,3.62,"3,098,696,039","3,398,966,741"
eos,"Nov 04, 2019",3.29,3.48,3.26,3.45,"2,622,910,762","3,234,215,785"
eos,"Nov 03, 2019",3.33,3.35,3.22,3.28,"1,747,407,101","3,083,125,737"
eos,"Nov 02, 2019",3.35,3.39,3.31,3.33,"1,853,095,765","3,129,373,031"
eos,"Nov 01, 2019",3.28,3.38,3.24,3.35,"2,155,169,872","3,147,694,261"
eos,"Oct 31, 2019",3.30,3.37,3.20,3.28,"2,214,401,900","3,073,979,520"
eos,"Oct 30, 2019",3.41,3.41,3.22,3.30,"2,485,786,630","3,093,636,013"
eos,"Oct 29, 2019",3.29,3.45,3.29,3.41,"2,600,414,930","3,196,064,369"
eos,"Oct 28, 2019",3.34,3.50,3.26,3.30,"3,132,020,604","3,092,271,494"
eos,"Oct 27, 2019",3.14,3.44,3.09,3.34,"3,568,565,292","3,130,088,275"
eos,"Oct 26, 2019",3.18,3.48,3.02,3.14,"4,412,536,644","2,940,437,151"
eos,"Oct 25, 2019",2.75,3.23,2.75,3.18,"3,298,466,972","2,981,762,506"
eos,"Oct 24, 2019",2.73,2.79,2.69,2.75,"1,677,353,890","2,576,866,486"
eos,"Oct 23, 2019",2.91,2.92,2.62,2.72,"2,316,838,034","2,550,928,755"
eos,"Oct 22, 2019",2.94,3.01,2.89,2.90,"1,939,157,471","2,721,429,893"
eos,"Oct 21, 2019",2.93,2.96,2.89,2.94,"1,669,867,319","2,755,093,990"
eos,"Oct 20, 2019",2.88,2.94,2.85,2.93,"1,400,512,069","2,740,115,300"
eos,"Oct 19, 2019",2.89,2.92,2.86,2.88,"1,417,496,827","2,699,359,025"
eos,"Oct 18, 2019",2.96,2.97,2.78,2.89,"1,744,772,631","2,706,249,984"
eos,"Oct 17, 2019",2.95,2.97,2.91,2.96,"1,439,284,340","2,775,911,462"
eos,"Oct 16, 2019",2.99,3.01,2.89,2.95,"1,501,128,756","2,758,656,966"
eos,"Oct 15, 2019",3.17,3.17,2.93,2.99,"1,645,524,106","2,798,959,756"
eos,"Oct 14, 2019",3.12,3.18,3.12,3.17,"1,389,395,737","2,965,197,714"
eos,"Oct 13, 2019",3.08,3.14,3.08,3.12,"1,327,230,774","2,920,280,356"
eos,"Oct 12, 2019",3.14,3.20,3.06,3.09,"1,257,929,733","2,886,738,787"
eos,"Oct 11, 2019",3.16,3.21,3.11,3.14,"1,550,194,188","2,934,284,706"
eos,"Oct 10, 2019",3.25,3.25,3.08,3.16,"1,605,661,953","2,955,018,796"
