Currency,Date,Open,High,Low,Close,Volume,Market Cap
tether,"Dec 04, 2019",1.00,1.02,0.981153,1.01,"24,761,899,935","4,140,656,482"
tether,"Dec 03, 2019",1.00,1.01,0.991071,1.00,"16,691,088,420","4,120,924,295"
tether,"Dec 02, 2019",1.00,1.02,0.991988,1.00,"19,093,390,526","4,114,951,368"
tether,"Dec 01, 2019",1.00,1.02,0.995080,1.00,"21,027,847,332","4,118,235,661"
tether,"Nov 30, 2019",1.00,1.02,0.998375,1.00,"19,145,198,648","4,115,041,871"
tether,"Nov 29, 2019",1.00,1.01,0.992586,1.00,"22,304,763,156","4,126,616,332"
tether,"Nov 28, 2019",1.00,1.02,1.00,1.00,"21,502,793,846","4,124,805,294"
tether,"Nov 27, 2019",1.00,1.03,0.981392,1.01,"27,416,693,309","4,128,694,013"
tether,"Nov 26, 2019",1.00,1.02,0.995267,1.01,"23,545,460,689","4,148,191,320"
tether,"Nov 25, 2019",1.01,1.02,0.993995,1.00,"33,648,447,519","4,120,837,393"
tether,"Nov 24, 2019",1.01,1.03,1.00,1.02,"25,990,545,761","4,180,011,937"
tether,"Nov 23, 2019",1.00,1.03,0.998878,1.01,"24,605,070,720","4,161,983,862"
tether,"Nov 22, 2019",1.00,1.02,0.991656,1.00,"39,068,899,485","4,120,554,484"
tether,"Nov 21, 2019",1.01,1.02,0.998885,1.00,"26,004,738,831","4,109,731,631"
tether,"Nov 20, 2019",1.01,1.02,1.00,1.01,"22,255,938,426","4,130,393,647"
tether,"Nov 19, 2019",1.01,1.03,1.00,1.01,"23,104,090,327","4,144,883,422"
tether,"Nov 18, 2019",1.01,1.02,1.00,1.01,"24,102,161,964","4,157,375,252"
tether,"Nov 17, 2019",1.01,1.02,1.00,1.01,"20,418,489,157","4,142,844,476"
tether,"Nov 16, 2019",1.00,1.01,1.00,1.01,"18,225,904,912","4,135,759,004"
tether,"Nov 15, 2019",1.01,1.02,0.995398,1.00,"25,291,395,573","4,113,666,666"
tether,"Nov 14, 2019",1.00,1.01,0.998471,1.01,"21,911,169,228","4,130,975,243"
tether,"Nov 13, 2019",1.00,1.01,0.999717,1.00,"20,071,939,197","4,121,088,708"
tether,"Nov 12, 2019",1.00,1.01,0.997774,1.00,"23,449,537,112","4,113,788,114"
tether,"Nov 11, 2019",1.00,1.01,0.997627,1.00,"23,739,145,075","4,118,061,437"
tether,"Nov 10, 2019",1.00,1.01,0.988144,1.00,"24,552,202,767","4,119,110,881"
tether,"Nov 09, 2019",1.00,1.01,0.998939,1.00,"20,459,420,156","4,108,822,609"
tether,"Nov 08, 2019",1.01,1.01,0.998418,1.00,"28,749,114,086","4,118,305,231"
tether,"Nov 07, 2019",1.00,1.01,0.997957,1.01,"27,694,410,589","4,131,592,434"
tether,"Nov 06, 2019",1.01,1.01,1.00,1.00,"28,578,448,466","4,120,504,628"
tether,"Nov 05, 2019",1.00,1.01,0.996082,1.00,"30,721,581,637","4,127,530,034"
tether,"Nov 04, 2019",1.00,1.01,0.993690,1.00,"30,710,349,697","4,125,883,665"
tether,"Nov 03, 2019",1.01,1.01,0.998527,1.00,"24,597,499,287","4,126,314,409"
tether,"Nov 02, 2019",1.00,1.01,0.997896,1.00,"23,973,071,925","4,127,588,892"
tether,"Nov 01, 2019",1.01,1.01,1.00,1.00,"27,864,589,885","4,124,890,871"
tether,"Oct 31, 2019",1.01,1.03,0.998004,1.01,"30,727,310,848","4,134,412,347"
tether,"Oct 30, 2019",1.00,1.01,0.999340,1.01,"32,807,890,269","4,132,087,645"
tether,"Oct 29, 2019",1.00,1.01,0.992977,1.00,"35,047,512,730","4,116,816,180"
tether,"Oct 28, 2019",1.00,1.01,0.978821,1.00,"38,665,694,771","4,119,771,724"
tether,"Oct 27, 2019",1.00,1.01,0.977020,1.00,"40,519,447,549","4,125,469,824"
tether,"Oct 26, 2019",1.00,1.01,0.969353,1.00,"53,509,128,965","4,114,596,274"
tether,"Oct 25, 2019",1.01,1.01,0.976078,1.00,"37,383,241,390","4,116,967,974"
tether,"Oct 24, 2019",1.00,1.01,0.982727,1.01,"22,266,038,845","4,138,558,913"
tether,"Oct 23, 2019",1.00,1.04,0.999671,1.00,"28,104,432,431","4,118,105,520"
tether,"Oct 22, 2019",1.00,1.01,1.00,1.00,"20,074,662,023","4,126,489,142"
tether,"Oct 21, 2019",1.00,1.01,1.00,1.00,"19,359,959,756","4,125,208,335"
tether,"Oct 20, 2019",1.01,1.01,0.997678,1.00,"19,329,244,106","4,119,901,026"
tether,"Oct 19, 2019",1.00,1.01,0.997877,1.01,"17,298,548,068","4,136,188,573"
tether,"Oct 18, 2019",1.00,1.02,1.00,1.00,"19,250,435,708","4,119,297,017"
tether,"Oct 17, 2019",1.01,1.01,1.00,1.00,"17,434,260,359","4,125,325,861"
tether,"Oct 16, 2019",1.00,1.01,0.999617,1.01,"19,824,055,272","4,133,212,798"
tether,"Oct 15, 2019",1.00,1.01,0.998641,1.00,"19,049,522,501","4,124,681,551"
tether,"Oct 14, 2019",1.00,1.01,0.994655,1.00,"17,801,736,393","4,125,276,591"
tether,"Oct 13, 2019",1.00,1.02,1.00,1.00,"16,192,755,686","4,128,347,941"
tether,"Oct 12, 2019",1.01,1.02,1.00,1.00,"17,304,431,390","4,126,426,747"
tether,"Oct 11, 2019",1.00,1.02,0.994763,1.01,"23,204,107,707","4,158,787,987"
tether,"Oct 10, 2019",1.01,1.01,0.998622,1.00,"20,928,242,912","4,121,340,915"
tether,"Oct 09, 2019",1.01,1.01,0.995585,1.01,"23,029,987,899","4,131,538,662"
tether,"Oct 08, 2019",1.01,1.01,1.00,1.01,"18,815,341,020","4,133,186,976"
tether,"Oct 07, 2019",1.01,1.02,0.997375,1.01,"21,724,647,654","4,143,061,946"
tether,"Oct 06, 2019",1.00,1.02,1.00,1.01,"15,827,357,439","4,157,697,859"
tether,"Oct 05, 2019",1.01,1.01,0.999737,1.00,"14,434,599,810","4,115,980,271"
tether,"Oct 04, 2019",1.00,1.01,1.00,1.01,"15,728,274,369","4,144,365,577"
tether,"Oct 03, 2019",1.00,1.01,0.998967,1.00,"16,169,258,787","4,128,369,915"
tether,"Oct 02, 2019",1.01,1.01,1.00,1.00,"15,811,830,977","4,125,482,767"
tether,"Oct 01, 2019",1.00,1.01,0.998700,1.01,"19,030,134,292","4,134,317,781"
tether,"Sep 30, 2019",1.01,1.01,0.997939,1.00,"21,100,592,344","4,124,922,496"
tether,"Sep 29, 2019",1.00,1.02,1.00,1.01,"15,804,140,912","4,131,364,185"
tether,"Sep 28, 2019",1.01,1.01,0.998413,1.00,"16,912,669,853","4,127,056,413"
tether,"Sep 27, 2019",1.00,1.01,0.999738,1.01,"19,746,430,476","4,150,539,050"
tether,"Sep 26, 2019",1.01,1.02,0.995644,1.00,"22,801,049,085","4,126,247,361"
tether,"Sep 25, 2019",1.01,1.01,0.997471,1.01,"26,997,260,690","4,135,771,272"
tether,"Sep 24, 2019",1.00,1.06,0.996689,1.01,"30,921,334,257","4,137,451,011"
tether,"Sep 23, 2019",1.00,1.01,0.998132,1.00,"18,747,409,475","4,118,512,107"
tether,"Sep 22, 2019",1.00,1.01,0.997709,1.00,"16,627,445,896","4,118,866,621"
tether,"Sep 21, 2019",1.00,1.01,0.999478,1.00,"16,319,022,643","4,117,713,822"
tether,"Sep 20, 2019",1.00,1.01,0.998032,1.00,"18,113,214,694","4,111,952,092"
tether,"Sep 19, 2019",1.01,1.02,0.996239,1.00,"24,952,094,604","4,120,322,200"
tether,"Sep 18, 2019",1.01,1.01,1.00,1.00,"20,444,983,557","4,128,128,247"
tether,"Sep 17, 2019",1.00,1.01,0.998028,1.00,"19,476,441,246","4,128,114,452"
tether,"Sep 16, 2019",1.00,1.01,0.997661,1.00,"17,893,377,310","4,114,723,986"
tether,"Sep 15, 2019",1.00,1.01,1.00,1.00,"14,415,596,813","4,123,580,642"
tether,"Sep 14, 2019",1.00,1.01,0.998992,1.00,"16,159,387,143","4,114,222,770"
tether,"Sep 13, 2019",1.00,1.01,1.00,1.00,"15,996,355,710","4,097,467,740"
tether,"Sep 12, 2019",1.00,1.01,1.00,1.00,"16,402,248,661","4,101,324,783"
tether,"Sep 11, 2019",1.00,1.01,0.994772,1.00,"18,377,750,474","4,098,035,281"
tether,"Sep 10, 2019",1.00,1.01,0.997473,0.999806,"17,017,654,802","4,087,401,867"
tether,"Sep 09, 2019",1.00,1.01,0.993680,1.00,"20,257,637,729","4,086,341,063"
tether,"Sep 08, 2019",1.01,1.02,0.999800,1.01,"16,261,435,450","4,092,580,762"
tether,"Sep 07, 2019",1.00,1.01,0.996417,1.01,"17,519,761,214","4,076,795,700"
tether,"Sep 06, 2019",1.00,1.02,0.997310,1.00,"21,625,818,728","4,066,603,136"
tether,"Sep 05, 2019",1.00,1.01,0.997480,1.00,"16,117,656,384","4,039,613,908"
tether,"Sep 04, 2019",1.00,1.01,0.997986,1.00,"17,773,100,138","4,035,748,884"
tether,"Sep 03, 2019",1.00,1.01,0.997069,1.00,"20,961,149,310","4,036,034,882"
tether,"Sep 02, 2019",1.00,1.01,0.995956,1.00,"19,393,673,770","4,019,029,082"
tether,"Sep 01, 2019",1.00,1.01,0.997522,1.00,"13,692,453,817","4,026,198,550"
tether,"Aug 31, 2019",1.00,1.01,0.998830,1.00,"13,595,017,430","4,022,874,816"
tether,"Aug 30, 2019",1.00,1.01,0.997414,1.00,"15,743,697,557","4,016,648,657"
tether,"Aug 29, 2019",0.996938,1.00,0.990583,1.00,"19,588,460,309","4,016,076,899"
tether,"Aug 28, 2019",0.997596,1.02,0.995672,0.996918,"20,067,236,222","3,993,337,718"
tether,"Aug 27, 2019",1.00,1.00,0.994668,0.999137,"15,741,344,309","4,051,946,618"
tether,"Aug 26, 2019",0.998459,1.01,0.990480,1.00,"20,439,272,588","4,061,567,312"
tether,"Aug 25, 2019",1.00,1.01,0.997705,0.999559,"15,701,077,262","4,047,319,907"
tether,"Aug 24, 2019",1.00,1.01,0.994502,1.00,"16,855,228,119","4,059,783,763"
tether,"Aug 23, 2019",1.00,1.01,0.995214,1.00,"17,469,694,439","4,064,927,506"
tether,"Aug 22, 2019",0.994162,1.02,0.989497,1.00,"19,233,722,241","4,055,957,258"
tether,"Aug 21, 2019",1.00,1.01,0.988811,0.994472,"21,391,478,351","4,021,552,170"
tether,"Aug 20, 2019",1.00,1.01,0.997226,1.00,"16,172,223,852","4,045,850,196"
tether,"Aug 19, 2019",1.00,1.01,0.999314,1.00,"16,811,861,913","4,060,897,533"
tether,"Aug 18, 2019",1.00,1.01,0.995090,1.00,"14,364,172,776","4,057,444,466"
tether,"Aug 17, 2019",1.00,1.01,0.994905,1.00,"14,226,877,438","4,047,320,852"
tether,"Aug 16, 2019",1.00,1.01,0.989389,1.00,"20,270,456,793","4,053,428,776"
tether,"Aug 15, 2019",0.993513,1.01,0.989800,1.00,"24,671,808,089","4,053,746,971"
tether,"Aug 14, 2019",0.996904,1.01,0.991617,0.993267,"20,899,800,562","4,015,336,888"
tether,"Aug 13, 2019",0.998860,1.00,0.992964,0.996607,"16,990,669,408","4,029,041,082"
tether,"Aug 12, 2019",0.997528,1.00,0.996463,0.998427,"14,362,593,627","4,036,397,868"
tether,"Aug 11, 2019",0.999586,1.00,0.993964,0.997650,"16,176,202,793","4,033,923,480"
tether,"Aug 10, 2019",0.998624,1.02,0.994197,0.999664,"18,865,220,050","4,042,064,736"
tether,"Aug 09, 2019",0.997114,1.00,0.995848,0.998742,"19,138,167,443","4,038,339,618"
tether,"Aug 08, 2019",1.00,1.00,0.992873,0.997454,"19,546,253,744","4,032,631,239"
tether,"Aug 07, 2019",0.997503,1.01,0.994797,1.00,"21,336,570,151","4,047,815,470"
tether,"Aug 06, 2019",1.01,1.02,0.994782,0.998211,"23,116,470,540","4,032,665,588"
tether,"Aug 05, 2019",1.01,1.02,0.999468,1.01,"23,323,661,452","4,080,179,145"
tether,"Aug 04, 2019",1.00,1.02,0.998230,1.01,"16,547,093,138","4,046,865,535"
tether,"Aug 03, 2019",1.00,1.02,0.999940,1.00,"15,536,536,966","4,043,681,423"
tether,"Aug 02, 2019",1.01,1.01,1.00,1.00,"17,771,010,851","4,033,499,119"
tether,"Aug 01, 2019",1.00,1.01,0.999278,1.01,"17,335,442,457","4,050,895,289"
tether,"Jul 31, 2019",1.00,1.01,0.998329,1.00,"17,287,662,489","4,041,560,025"
tether,"Jul 30, 2019",1.00,1.01,0.994308,1.00,"15,142,268,405","4,035,591,592"
tether,"Jul 29, 2019",1.00,1.01,0.991145,1.00,"15,509,464,207","4,029,661,620"
tether,"Jul 28, 2019",0.997934,1.01,0.984961,1.00,"14,944,677,257","4,036,568,223"
tether,"Jul 27, 2019",1.00,1.02,0.994444,0.998904,"18,615,240,948","4,023,148,586"
tether,"Jul 26, 2019",1.00,1.01,0.996531,1.00,"15,599,639,005","4,040,171,251"
tether,"Jul 25, 2019",1.00,1.01,0.992710,1.00,"17,296,727,538","4,037,152,968"
tether,"Jul 24, 2019",0.999094,1.01,0.994108,1.00,"19,783,566,756","4,036,055,230"
tether,"Jul 23, 2019",1.00,1.00,0.992193,0.997631,"19,014,521,713","4,014,962,125"
tether,"Jul 22, 2019",1.00,1.01,0.991956,1.00,"17,683,364,720","4,028,586,251"
tether,"Jul 21, 2019",1.01,1.01,0.995798,1.00,"18,408,364,222","4,030,144,850"
tether,"Jul 20, 2019",1.00,1.01,0.998099,1.01,"21,153,364,428","4,047,279,803"
tether,"Jul 19, 2019",1.01,1.02,0.995676,1.00,"21,977,173,846","4,030,698,285"
tether,"Jul 18, 2019",1.01,1.01,0.990635,1.01,"26,607,023,339","4,007,527,468"
tether,"Jul 17, 2019",0.996799,1.01,0.989308,1.01,"27,923,279,924","3,995,324,969"
tether,"Jul 16, 2019",1.01,1.01,0.989860,0.995924,"26,416,562,733","3,936,469,134"
tether,"Jul 15, 2019",1.00,1.01,0.991671,1.01,"27,881,783,429","3,969,197,087"
tether,"Jul 14, 2019",0.998877,1.01,0.995528,0.999995,"23,891,996,870","3,916,691,732"
tether,"Jul 13, 2019",1.01,1.01,0.993898,0.998694,"21,428,894,196","3,906,601,065"
tether,"Jul 12, 2019",0.996719,1.01,0.994522,1.01,"23,688,826,133","3,912,950,351"
tether,"Jul 11, 2019",1.00,1.01,0.994273,0.996514,"30,184,888,505","3,853,202,592"
tether,"Jul 10, 2019",1.00,1.01,0.995900,0.999782,"33,907,842,504","3,844,539,299"
tether,"Jul 09, 2019",1.00,1.02,1.00,1.00,"26,933,807,933","3,847,191,980"
tether,"Jul 08, 2019",1.00,1.01,0.995300,1.00,"22,820,954,670","3,778,152,236"
tether,"Jul 07, 2019",0.997018,1.01,0.994346,1.00,"19,840,392,097","3,710,332,355"
tether,"Jul 06, 2019",1.00,1.01,0.994577,0.997410,"20,814,642,709","3,688,689,726"
tether,"Jul 05, 2019",1.00,1.01,0.995091,1.00,"22,749,205,293","3,694,148,236"
tether,"Jul 04, 2019",1.00,1.01,0.997044,0.999929,"24,764,753,311","3,663,725,121"
tether,"Jul 03, 2019",1.00,1.01,0.993842,1.01,"27,680,469,385","3,651,596,466"
tether,"Jul 02, 2019",0.995718,1.01,0.976975,1.00,"29,747,160,959","3,619,787,352"
tether,"Jul 01, 2019",0.991538,1.00,0.984395,0.996052,"28,817,659,770","3,586,361,277"
tether,"Jun 30, 2019",1.00,1.00,0.986766,0.992487,"27,348,295,158","3,573,328,668"
tether,"Jun 29, 2019",1.00,1.01,0.990677,0.998604,"28,377,740,799","3,595,353,336"
tether,"Jun 28, 2019",0.986239,1.01,0.978437,1.00,"32,485,233,996","3,600,766,046"
tether,"Jun 27, 2019",0.992220,1.01,0.970494,0.985739,"38,157,617,576","3,534,068,745"
