Currency,Date,Open,High,Low,Close,Volume,Market Cap
binance-coin,"Dec 04, 2019",15.35,15.69,15.01,15.28,"237,605,471","2,376,597,490"
binance-coin,"Dec 03, 2019",15.19,15.55,15.05,15.31,"219,927,266","2,381,198,047"
binance-coin,"Dec 02, 2019",15.51,15.71,15.15,15.19,"200,809,249","2,362,891,697"
binance-coin,"Dec 01, 2019",15.74,15.74,15.05,15.50,"203,268,417","2,410,249,227"
binance-coin,"Nov 30, 2019",16.26,16.37,15.54,15.72,"213,428,131","2,444,407,390"
binance-coin,"Nov 29, 2019",15.68,16.34,15.65,16.27,"250,074,235","2,531,096,195"
binance-coin,"Nov 28, 2019",16.10,16.23,15.65,15.68,"194,516,396","2,439,314,462"
binance-coin,"Nov 27, 2019",15.49,16.20,14.94,16.10,"255,021,618","2,503,874,750"
binance-coin,"Nov 26, 2019",15.27,15.86,15.23,15.53,"205,893,351","2,415,058,208"
binance-coin,"Nov 25, 2019",15.29,15.74,14.20,15.27,"242,510,343","2,374,635,550"
binance-coin,"Nov 24, 2019",16.40,16.49,15.28,15.28,"232,363,837","2,376,408,889"
binance-coin,"Nov 23, 2019",15.58,16.47,15.15,16.42,"255,961,052","2,553,835,169"
binance-coin,"Nov 22, 2019",16.84,17.27,14.69,15.58,"341,456,274","2,423,526,845"
binance-coin,"Nov 21, 2019",18.16,18.19,16.62,16.84,"228,429,806","2,619,271,948"
binance-coin,"Nov 20, 2019",18.71,18.93,17.85,18.17,"210,091,849","2,826,455,734"
binance-coin,"Nov 19, 2019",19.31,19.63,18.38,18.70,"206,923,366","2,909,049,614"
binance-coin,"Nov 18, 2019",20.34,20.43,18.94,19.32,"224,380,017","3,004,482,390"
binance-coin,"Nov 17, 2019",20.28,20.62,20.03,20.26,"224,982,344","3,151,297,091"
binance-coin,"Nov 16, 2019",20.32,20.63,20.09,20.28,"211,016,746","3,154,697,160"
binance-coin,"Nov 15, 2019",21.24,21.29,20.18,20.32,"225,530,775","3,159,918,981"
binance-coin,"Nov 14, 2019",21.28,21.51,20.97,21.26,"237,992,230","3,307,441,359"
binance-coin,"Nov 13, 2019",20.87,21.64,20.71,21.25,"252,296,146","3,305,222,292"
binance-coin,"Nov 12, 2019",20.14,20.86,20.09,20.86,"227,650,068","3,244,098,617"
binance-coin,"Nov 11, 2019",20.48,20.64,19.92,20.13,"209,454,454","3,131,442,373"
binance-coin,"Nov 10, 2019",19.73,20.63,19.73,20.48,"239,714,468","3,185,665,329"
binance-coin,"Nov 09, 2019",19.68,19.98,19.60,19.74,"176,812,608","3,069,586,392"
binance-coin,"Nov 08, 2019",20.69,20.69,19.47,19.69,"184,596,047","3,062,638,047"
binance-coin,"Nov 07, 2019",20.81,20.96,20.25,20.65,"222,003,636","3,211,356,528"
